epoch,dice_coef,loss,mean_io_u,precision,recall,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_recall
0,0.5004906058311462,0.4995095133781433,0.5666791796684265,0.47203120589256287,0.6460786461830139,0.5829488039016724,0.41705116629600525,0.6097520589828491,0.5776488184928894,0.6047391891479492
1,0.5796365737915039,0.4203634560108185,0.612522542476654,0.5773349404335022,0.646820068359375,0.7219007015228271,0.27809926867485046,0.6908402442932129,0.7453902363777161,0.6803061962127686
2,0.6553400754928589,0.3446598947048187,0.6619274020195007,0.6729453206062317,0.6745901107788086,0.7019668221473694,0.2980331480503082,0.6744705438613892,0.7786021828651428,0.6269400715827942
3,0.7155091762542725,0.284490704536438,0.706610381603241,0.7392563223838806,0.7114572525024414,0.7480833530426025,0.25191667675971985,0.6870213150978088,0.856844425201416,0.625602126121521
4,0.7569084763526917,0.24309279024600983,0.7406408786773682,0.7819321751594543,0.7394691109657288,0.8048879504203796,0.19511204957962036,0.7498304843902588,0.8778596520423889,0.7159881591796875
5,0.7868845462799072,0.21311436593532562,0.7643701434135437,0.8112757802009583,0.762802004814148,0.8220015168190002,0.17799849808216095,0.781869113445282,0.8840602040290833,0.7297759056091309
6,0.8136215209960938,0.1863797903060913,0.7892055511474609,0.8427655696868896,0.7804347276687622,0.7744226455688477,0.22557729482650757,0.7406395673751831,0.8768340945243835,0.6597250699996948
7,0.8316062092781067,0.1683935672044754,0.8049687147140503,0.856999397277832,0.7967032194137573,0.7944357991218567,0.2055642008781433,0.735397219657898,0.9370197057723999,0.6318811774253845
8,0.8486411571502686,0.15135839581489563,0.820384681224823,0.8753469586372375,0.8091888427734375,0.8212128281593323,0.17878715693950653,0.7724644541740417,0.9473131895065308,0.6723959445953369
9,0.8649293780326843,0.1350710690021515,0.8355676531791687,0.8913169503211975,0.8234891295433044,0.8308245539665222,0.16917555034160614,0.7981019020080566,0.9175196886062622,0.7076221704483032
10,0.8738551139831543,0.12614396214485168,0.8446470499038696,0.8984013795852661,0.8322219252586365,0.8470573425292969,0.15294256806373596,0.819744884967804,0.9123156666755676,0.7541294097900391
11,0.887606143951416,0.11239378154277802,0.8574210405349731,0.9129701852798462,0.8425120115280151,0.8009936213493347,0.1990063339471817,0.7599849700927734,0.9035914540290833,0.6735759377479553
12,0.8950102925300598,0.10498833656311035,0.8652787804603577,0.9191785454750061,0.8513941764831543,0.8191831111907959,0.18081699311733246,0.8054648041725159,0.9003837704658508,0.7077733278274536
13,0.9030388593673706,0.09696130454540253,0.8730970025062561,0.9267269968986511,0.8572153449058533,0.8238987326622009,0.17610131204128265,0.7988860011100769,0.9155812859535217,0.7118142247200012
14,0.9121794104576111,0.08782176673412323,0.8827400207519531,0.9353720545768738,0.8668184280395508,0.8377698063850403,0.1622302532196045,0.8146033883094788,0.8577132821083069,0.7933356165885925
15,0.9157999157905579,0.08420014381408691,0.8860153555870056,0.9386041164398193,0.8696379065513611,0.8546555638313293,0.1453443169593811,0.8119280338287354,0.9543667435646057,0.7162363529205322
16,0.9218242168426514,0.07817672193050385,0.8917005062103271,0.9440247416496277,0.8743873238563538,0.8600997924804688,0.13990022242069244,0.8343315124511719,0.9282447695732117,0.7643771171569824
17,0.926613450050354,0.07338590174913406,0.8980697393417358,0.9483190178871155,0.8807809948921204,0.7746010422706604,0.22539900243282318,0.7615593671798706,0.68107008934021,0.8483284711837769
18,0.9279302358627319,0.07206958532333374,0.9004532694816589,0.9525871276855469,0.8812090158462524,0.8276211619377136,0.17237885296344757,0.7990659475326538,0.9314680695533752,0.6921581029891968
19,0.9376757144927979,0.06232493743300438,0.9105311632156372,0.9601872563362122,0.8909728527069092,0.8307471871376038,0.16925282776355743,0.8029569387435913,0.9572453498840332,0.6902357935905457
20,0.9367180466651917,0.06328085064888,0.9089031219482422,0.9597700834274292,0.889341413974762,0.8325311541557312,0.16746890544891357,0.8017185926437378,0.9292165040969849,0.6982882022857666
21,0.9431357979774475,0.056864283978939056,0.915807843208313,0.9648674130439758,0.8955339789390564,0.7975663542747498,0.20243369042873383,0.7769635319709778,0.9500476121902466,0.6461968421936035
22,0.9555431604385376,0.044455260038375854,0.9305572509765625,0.975145161151886,0.90967857837677,0.8553388714790344,0.14466117322444916,0.8237639665603638,0.9399070143699646,0.7341191172599792
23,0.9590598344802856,0.040939632803201675,0.9344587326049805,0.9784006476402283,0.9132758975028992,0.8562557101249695,0.14374423027038574,0.8220875859260559,0.941525399684906,0.7323412299156189
24,0.9610610008239746,0.03893908113241196,0.9367214441299438,0.9802983403205872,0.91506028175354,0.8573176264762878,0.14268238842487335,0.8241453170776367,0.9329701066017151,0.7441389560699463
25,0.9625914096832275,0.03740841895341873,0.9384461641311646,0.981632649898529,0.9166300892829895,0.8555135130882263,0.14448650181293488,0.819377064704895,0.9348451495170593,0.7361767888069153
26,0.9639250040054321,0.03607620671391487,0.9398466944694519,0.9827935099601746,0.9177638292312622,0.8537277579307556,0.1462721973657608,0.8200409412384033,0.9360154867172241,0.73335200548172
